ratio_absorb,LIGHT,VDE_max_turnover_number,pKvde,VDE_Hill,kZE,pKPsbS,max_NPQ,pHstroma_initial,ATP_synthase_content,ATP_synthase_max_turnover,Thylakoid_membrane_capacitance,Volts_per_charge,c_subunits_per_ATP_synthase,n,perm_K,k_VCCN1,k_CLCE,max_b6f,pKreg,Em7_PC,Em7_PQH2,Em_Fd,k_NDH,lumen_protons_per_turnover,buffering_capacity,PSI_antenna_size,k_PC_to_P700,k_KEA,max_PSII,PSII_antenna_size,kQA,k_recomb,triplet_yield,triplet_to_singletO2_yield,light_per_L,k_Fd_to_NADP,k_CBC
0.1,500,0.08,5.65,4,0.004,6.2,3,7.8,0.367,200,0.6,0.047,14,4.666666667,150,12,800000,300,6.2,0.37,0.11,-0.42,1000,0.000587,0.014,0.5,5000,2500000,1,0.5,1000,0.33,0.45,1,0,1000,60
0.1,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,364.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,328.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,295.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,265.7205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,239.14845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,215.233605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,193.7102445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,174.3392201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,156.905298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,141.2147682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,127.0932914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,114.3839623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,102.945566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,92.65100944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,83.3859085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,75.04731765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,67.54258588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,60.7883273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,54.70949457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,49.23854511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,44.3146906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,39.88322154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,35.89489938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,32.30540945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,29.0748685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,26.16738165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,23.55064349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,21.19557914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,19.07602122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,17.1684191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,15.45157719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,13.90641947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,12.51577752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,11.26419977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,10.1377798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,9.124001816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,8.211601634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,7.390441471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,6.651397324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,5.986257591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,5.387631832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.848868649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.363981784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.927583606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.534825245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.181342721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.863208449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.576887604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.319198843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.087278959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.878551063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.690695957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.521626361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.369463725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.232517352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.109265617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,204.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,163.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,131.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,104.8576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,83.88608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,67.108864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,53.6870912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,42.94967296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,34.35973837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,27.48779069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,21.99023256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,17.59218604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,14.07374884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,11.25899907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,9.007199255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,7.205759404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,5.764607523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,4.611686018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,3.689348815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2.951479052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2.361183241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.888946593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.511157275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.20892582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,171.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,120.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,84.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,58.8245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,41.17715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,28.824005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,20.1768035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,14.12376245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,9.886633715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,6.9206436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,4.84445052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,3.391115364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,2.373780755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.661646528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.16315257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,38.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,23.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,13.9968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,8.39808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,5.038848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,3.0233088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.81398528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.088391168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,7.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,3.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,2.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,1.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
