ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.1,0.07,0.1,0.1,0,0.525843149,0.525843149,5.2584314899999995
0.1,0.07,0.1,0.5,1,0.741827,0.741827,7.418270000000001
0.1,0.07,0.1,1.0,2,0.726447144,0.726447144,7.26447144
0.1,0.07,0.1,4.0,3,0.726554192,0.726554192,7.26554192
0.1,0.07,0.1,6.0,4,0.727389702,0.727389702,7.273897020000001
0.1,0.07,0.1,8.0,5,0.728300148,0.728300148,7.283001479999999
0.1,0.07,0.1,10.0,6,0.729240995,0.729240995,7.292409949999999
0.1,0.07,0.3,0.1,7,0.179136809,0.179136809,5.37410427
0.1,0.07,0.3,0.5,8,0.691808106,0.691808106,20.75424318
0.1,0.07,0.3,1.0,9,0.662238606,0.662238606,19.867158179999997
0.1,0.07,0.3,4.0,10,0.644930094,0.644930094,19.347902819999998
0.1,0.07,0.3,6.0,11,0.64573828,0.64573828,19.3721484
0.1,0.07,0.3,8.0,12,0.64661482,0.64661482,19.3984446
0.1,0.07,0.3,10.0,13,0.647517135,0.647517135,19.425514049999997
0.1,0.07,0.5,0.1,14,0.107722847,0.107722847,5.38614235
0.1,0.07,0.5,0.5,15,0.470515764,0.470515764,23.5257882
0.1,0.07,0.5,1.0,16,0.624843373,0.624843373,31.242168650000004
0.1,0.07,0.5,4.0,17,0.610109949,0.610109949,30.505497450000004
0.1,0.07,0.5,6.0,18,0.611685233,0.0,0.0
0.1,0.07,0.5,8.0,19,0.612545324,0.611685233,30.58426165
0.1,0.07,0.5,10.0,20,0.077011357,0.612545324,30.627266199999998
0.1,0.07,0.7,0.1,21,0.342001296,0.077011357,5.39079499
0.1,0.07,0.7,0.5,22,0.517793384,0.342001296,23.940090719999997
0.1,0.07,0.7,1.0,23,0.559463825,0.517793384,36.245536879999996
0.1,0.07,0.7,4.0,24,0.560260132,0.559463825,39.162467750000005
0.1,0.07,0.7,6.0,25,0.561094782,0.560260132,39.21820924
0.1,0.07,0.7,8.0,26,0.561971624,0.561094782,39.27663473999999
0.1,0.07,0.7,10.0,27,0.059926609,0.561971624,39.33801368
0.1,0.07,0.9,0.1,28,0.267738039,0.059926609,5.393394809999999
0.1,0.07,0.9,0.5,29,0.420422244,0.267738039,24.096423509999997
0.1,0.07,0.9,1.0,30,0.492332211,0.420422244,37.83800196
0.1,0.07,0.9,4.0,31,0.493166048,0.492332211,44.30989899
0.1,0.07,0.9,6.0,32,0.493995876,0.493166048,44.38494432
0.1,0.07,0.9,8.0,33,0.494823424,0.493995876,44.45962884
0.1,0.07,0.9,10.0,34,0.532622828,0.494823424,44.53410816
0.1,0.1,0.1,0.1,35,0.773141071,0.532622828,5.3262282800000005
0.1,0.1,0.1,0.5,36,0.755130555,0.773141071,7.7314107100000005
0.1,0.1,0.1,1.0,37,0.755301076,0.755130555,7.551305550000001
0.1,0.1,0.1,4.0,38,0.756091235,0.755301076,7.553010760000001
0.1,0.1,0.1,6.0,39,0.756938817,0.756091235,7.56091235
0.1,0.1,0.1,8.0,40,0.75781199,0.756938817,7.569388170000001
0.1,0.1,0.1,10.0,41,0.181734869,0.75781199,7.578119900000001
0.1,0.1,0.3,0.1,42,0.730375299,0.181734869,5.45204607
0.1,0.1,0.3,0.5,43,0.705190059,0.730375299,21.91125897
0.1,0.1,0.3,1.0,44,0.668287489,0.705190059,21.15570177
0.1,0.1,0.3,4.0,45,0.66914864,0.668287489,20.048624670000002
0.1,0.1,0.3,6.0,46,0.670081567,0.66914864,20.074459199999996
0.1,0.1,0.3,8.0,47,0.671036546,0.670081567,20.10244701
0.1,0.1,0.3,10.0,48,0.109303756,0.671036546,20.13109638
0.1,0.1,0.5,0.1,49,0.494114967,0.109303756,5.4651878
0.1,0.1,0.5,0.5,50,0.683402994,0.494114967,24.70574835
0.1,0.1,0.5,1.0,51,0.635581455,0.683402994,34.1701497
0.1,0.1,0.5,4.0,52,0.636307017,0.635581455,31.779072749999997
0.1,0.1,0.5,6.0,53,0.637144912,0.636307017,31.81535085
0.1,0.1,0.5,8.0,54,0.638023272,0.637144912,31.8572456
0.1,0.1,0.5,10.0,55,0.078145075,0.638023272,31.9011636
0.1,0.1,0.7,0.1,56,0.358106639,0.078145075,5.4701552499999995
0.1,0.1,0.7,0.5,57,0.586577784,0.358106639,25.06746473
0.1,0.1,0.7,1.0,58,0.611938559,0.586577784,41.060444880000006
0.1,0.1,0.7,4.0,59,0.612580554,0.611938559,42.83569913
0.1,0.1,0.7,6.0,60,0.613391601,0.612580554,42.88063878
0.1,0.1,0.7,8.0,61,0.614245664,0.613391601,42.93741207
0.1,0.1,0.7,10.0,62,0.060810779,0.614245664,42.99719648
0.1,0.1,0.9,0.1,63,0.280022555,0.060810779,5.47297011
0.1,0.1,0.9,0.5,64,0.479655753,0.280022555,25.20202995
0.1,0.1,0.9,1.0,65,0.579961752,0.479655753,43.16901777
0.1,0.1,0.9,4.0,66,0.580638917,0.579961752,52.19655768
0.1,0.1,0.9,6.0,67,0.581451887,0.580638917,52.25750253
0.1,0.1,0.9,8.0,68,0.582311636,0.581451887,52.33066983
0.1,0.1,0.9,10.0,69,0.577950693,0.582311636,52.40804724
0.1,1.0,0.1,0.1,70,0.828526616,0.577950693,5.77950693
0.1,1.0,0.1,0.5,71,0.828096984,0.828526616,8.28526616
0.1,1.0,0.1,1.0,72,0.828158512,0.828096984,8.280969840000001
0.1,1.0,0.1,4.0,73,0.828200275,0.828158512,8.28158512
0.1,1.0,0.1,6.0,74,0.828240973,0.828200275,8.28200275
0.1,1.0,0.1,8.0,75,0.828280679,0.828240973,8.282409730000001
0.1,1.0,0.1,10.0,76,0.202116316,0.828280679,8.28280679
0.1,1.0,0.3,0.1,77,0.796882498,0.202116316,6.063489479999999
0.1,1.0,0.3,0.5,78,0.824870124,0.796882498,23.90647494
0.1,1.0,0.3,1.0,79,0.816509357,0.824870124,24.74610372
0.1,1.0,0.3,4.0,80,0.816766996,0.816509357,24.49528071
0.1,1.0,0.3,6.0,81,0.817025972,0.816766996,24.503009879999997
0.1,1.0,0.3,8.0,82,0.817283783,0.817025972,24.510779160000002
0.1,1.0,0.3,10.0,83,0.121840612,0.817283783,24.51851349
0.1,1.0,0.5,0.1,84,0.545908725,0.121840612,6.0920306
0.1,1.0,0.5,0.5,85,0.816235937,0.545908725,27.295436249999998
0.1,1.0,0.5,1.0,86,0.799040611,0.816235937,40.81179685
0.1,1.0,0.5,4.0,87,0.799466535,0.799040611,39.95203055
0.1,1.0,0.5,6.0,88,0.799940648,0.799466535,39.97332675
0.1,1.0,0.5,8.0,89,0.800427886,0.799940648,39.9970324
0.1,1.0,0.5,10.0,90,0.087182232,0.800427886,40.021394300000004
0.1,1.0,0.7,0.1,91,0.396295313,0.087182232,6.102756239999999
0.1,1.0,0.7,0.5,92,0.727508136,0.396295313,27.740671909999996
0.1,1.0,0.7,1.0,93,0.788051001,0.727508136,50.92556951999999
0.1,1.0,0.7,4.0,94,0.780976644,0.788051001,55.16357007
0.1,1.0,0.7,6.0,95,0.781551092,0.780976644,54.668365079999994
0.1,1.0,0.7,8.0,96,0.782188356,0.781551092,54.70857643999999
0.1,1.0,0.7,10.0,97,0.067870911,0.782188356,54.753184919999995
0.1,1.0,0.9,0.1,98,0.310055866,0.067870911,6.108381990000001
0.1,1.0,0.9,0.5,99,0.589573201,0.310055866,27.905027940000004
0.1,1.0,0.9,1.0,100,0.788523705,0.589573201,53.06158809
0.1,1.0,0.9,4.0,101,0.763758359,0.788523705,70.96713345
0.1,1.0,0.9,6.0,102,0.764209825,0.763758359,68.73825231000001
0.1,1.0,0.9,8.0,103,0.764924566,0.764209825,68.77888425
0.1,1.0,0.9,10.0,104,0.608334528,0.764924566,68.84321094
0.1,3.0,0.1,0.1,105,0.829403184,0.608334528,6.08334528
0.1,3.0,0.1,0.5,106,0.829700746,0.829403184,8.29403184
0.1,3.0,0.1,1.0,107,0.829708921,0.829700746,8.29700746
0.1,3.0,0.1,4.0,108,0.829714252,0.829708921,8.297089210000001
0.1,3.0,0.1,6.0,109,0.829719442,0.829714252,8.297142520000001
0.1,3.0,0.1,8.0,110,0.829724518,0.829719442,8.29719442
0.1,3.0,0.1,10.0,111,0.21806549,0.829724518,8.29724518
0.1,3.0,0.3,0.1,112,0.80146479,0.21806549,6.541964699999999
0.1,3.0,0.3,0.5,113,0.827958894,0.80146479,24.0439437
0.1,3.0,0.3,1.0,114,0.828133121,0.827958894,24.83876682
0.1,3.0,0.3,4.0,115,0.82817632,0.828133121,24.84399363
0.1,3.0,0.3,6.0,116,0.828219403,0.82817632,24.845289599999997
0.1,3.0,0.3,8.0,117,0.828261736,0.828219403,24.84658209
0.1,3.0,0.3,10.0,118,0.131737664,0.828261736,24.84785208
0.1,3.0,0.5,0.1,119,0.566574113,0.131737664,6.5868832
0.1,3.0,0.5,0.5,120,0.82019879,0.566574113,28.328705650000003
0.1,3.0,0.5,1.0,121,0.825193083,0.82019879,41.009939499999994
0.1,3.0,0.5,4.0,122,0.825300771,0.825193083,41.25965415
0.1,3.0,0.5,6.0,123,0.825410487,0.825300771,41.26503855
0.1,3.0,0.5,8.0,124,0.825519299,0.825410487,41.270524349999995
0.1,3.0,0.5,10.0,125,0.094338091,0.825519299,41.27596495
0.1,3.0,0.7,0.1,126,0.414162003,0.094338091,6.60366637
0.1,3.0,0.7,0.5,127,0.741376316,0.414162003,28.99134021
0.1,3.0,0.7,1.0,128,0.823383774,0.741376316,51.89634211999999
0.1,3.0,0.7,4.0,129,0.821261786,0.823383774,57.63686417999999
0.1,3.0,0.7,6.0,130,0.821455551,0.821261786,57.48832502
0.1,3.0,0.7,8.0,131,0.821650639,0.821455551,57.50188856999999
0.1,3.0,0.7,10.0,132,0.073471302,0.821650639,57.51554473
0.1,3.0,0.9,0.1,133,0.324836422,0.073471302,6.6124171800000004
0.1,3.0,0.9,0.5,134,0.60796071,0.324836422,29.235277980000003
0.1,3.0,0.9,1.0,135,0.823129111,0.60796071,54.7164639
0.1,3.0,0.9,4.0,136,0.816670299,0.823129111,74.08161999000001
0.1,3.0,0.9,6.0,137,0.816559294,0.816670299,73.50032691
0.1,3.0,0.9,8.0,138,0.816847811,0.816559294,73.49033646000001
0.1,3.0,0.9,10.0,139,0.625095351,0.816847811,73.51630299
0.1,5.0,0.1,0.1,140,0.829483602,0.625095351,6.2509535099999995
0.1,5.0,0.1,0.5,141,0.829842842,0.829483602,8.294836020000002
0.1,5.0,0.1,1.0,142,0.829845929,0.829842842,8.29842842
0.1,5.0,0.1,4.0,143,0.829847952,0.829845929,8.29845929
0.1,5.0,0.1,6.0,144,0.829849921,0.829847952,8.29847952
0.1,5.0,0.1,8.0,145,0.829851838,0.829849921,8.298499210000001
0.1,5.0,0.1,10.0,146,0.227835328,0.829851838,8.29851838
0.1,5.0,0.3,0.1,147,0.80305504,0.227835328,6.83505984
0.1,5.0,0.3,0.5,148,0.82825351,0.80305504,24.0916512
0.1,5.0,0.3,1.0,149,0.829246194,0.82825351,24.8476053
0.1,5.0,0.3,4.0,150,0.829263049,0.829246194,24.877385819999997
0.1,5.0,0.3,6.0,151,0.82927954,0.829263049,24.877891469999998
0.1,5.0,0.3,8.0,152,0.829295728,0.82927954,24.878386199999998
0.1,5.0,0.3,10.0,153,0.13782933,0.829295728,24.87887184
0.1,5.0,0.5,0.1,154,0.57814287,0.13782933,6.8914665
0.1,5.0,0.5,0.5,155,0.820762898,0.57814287,28.9071435
0.1,5.0,0.5,1.0,156,0.828105368,0.820762898,41.0381449
0.1,5.0,0.5,4.0,157,0.828148792,0.828105368,41.4052684
0.1,5.0,0.5,6.0,158,0.828192465,0.828148792,41.407439600000004
0.1,5.0,0.5,8.0,159,0.828235702,0.828192465,41.40962325
0.1,5.0,0.5,10.0,160,0.098753129,0.828235702,41.411785099999996
0.1,5.0,0.7,0.1,161,0.424582594,0.098753129,6.912719029999999
0.1,5.0,0.7,0.5,162,0.747143039,0.424582594,29.720781579999993
0.1,5.0,0.7,1.0,163,0.8272745,0.747143039,52.30001273
0.1,5.0,0.7,4.0,164,0.826527927,0.8272745,57.909215
0.1,5.0,0.7,6.0,165,0.826609639,0.826527927,57.85695489
0.1,5.0,0.7,8.0,166,0.826691131,0.826609639,57.862674729999995
0.1,5.0,0.7,10.0,167,0.076928885,0.826691131,57.86837917
0.1,5.0,0.9,0.1,168,0.33355613,0.076928885,6.923599650000001
0.1,5.0,0.9,0.5,169,0.6175009,0.33355613,30.0200517
0.1,5.0,0.9,1.0,170,0.826910995,0.6175009,55.575081000000004
0.1,5.0,0.9,4.0,171,0.824648548,0.826910995,74.42198955
0.1,5.0,0.9,6.0,172,0.824556822,0.824648548,74.21836932
0.1,5.0,0.9,8.0,173,0.824685209,0.824556822,74.21011398
0.1,5.0,0.9,10.0,174,0.637020696,0.824685209,74.22166881
0.1,7.0,0.1,0.1,175,0.829507854,0.637020696,6.370206960000001
0.1,7.0,0.1,0.5,176,0.829884047,0.829507854,8.29507854
0.1,7.0,0.1,1.0,177,0.829885672,0.829884047,8.29884047
0.1,7.0,0.1,4.0,178,0.829886737,0.829885672,8.29885672
0.1,7.0,0.1,6.0,179,0.829887769,0.829886737,8.298867370000002
0.1,7.0,0.1,8.0,180,0.82988879,0.829887769,8.298877690000001
0.1,7.0,0.1,10.0,181,0.235324594,0.82988879,8.298887900000002
0.1,7.0,0.3,0.1,182,0.80404518,0.235324594,7.059737819999999
0.1,7.0,0.3,0.5,183,0.8283444,0.80404518,24.1213554
0.1,7.0,0.3,1.0,184,0.829568487,0.8283444,24.850331999999998
0.1,7.0,0.3,4.0,185,0.829577375,0.829568487,24.887054609999996
0.1,7.0,0.3,6.0,186,0.829586096,0.829577375,24.887321249999996
0.1,7.0,0.3,8.0,187,0.829594652,0.829586096,24.887582879999997
0.1,7.0,0.3,10.0,188,0.142522918,0.829594652,24.88783956
0.1,7.0,0.5,0.1,189,0.586593498,0.142522918,7.1261459
0.1,7.0,0.5,0.5,190,0.821000096,0.586593498,29.3296749
0.1,7.0,0.5,1.0,191,0.828963512,0.821000096,41.0500048
0.1,7.0,0.5,4.0,192,0.828986707,0.828963512,41.4481756
0.1,7.0,0.5,6.0,193,0.829010131,0.828986707,41.44933535
0.1,7.0,0.5,8.0,194,0.829033235,0.829010131,41.45050655
0.1,7.0,0.5,10.0,195,0.102152653,0.829033235,41.45166175
0.1,7.0,0.7,0.1,196,0.432388262,0.102152653,7.1506857099999985
0.1,7.0,0.7,0.5,197,0.75094215,0.432388262,30.26717834
0.1,7.0,0.7,1.0,198,0.828423041,0.75094215,52.56595049999999
0.1,7.0,0.7,4.0,199,0.828119611,0.828423041,57.989612869999995
0.1,7.0,0.7,6.0,200,0.8281639,0.828119611,57.96837277
0.1,7.0,0.7,8.0,201,0.828207831,0.8281639,57.971472999999996
0.1,7.0,0.7,10.0,202,0.079592502,0.828207831,57.97454817
0.1,7.0,0.9,0.1,203,0.34013162,0.079592502,7.163325179999999
0.1,7.0,0.9,0.5,204,0.624347421,0.34013162,30.611845800000005
0.1,7.0,0.9,1.0,205,0.828029647,0.624347421,56.19126789
0.1,7.0,0.9,4.0,206,0.827090301,0.828029647,74.52266823
0.1,7.0,0.9,6.0,207,0.827051127,0.827090301,74.43812709000001
0.1,7.0,0.9,8.0,208,0.827121941,0.827051127,74.43460143
0.1,7.0,0.9,10.0,209,0.493009265,0.827121941,74.44097469
0.3,0.07,0.1,0.1,210,0.64736017,0.493009265,4.93009265
0.3,0.07,0.1,0.5,211,0.644492529,0.64736017,6.473601700000001
0.3,0.07,0.1,1.0,212,0.645048078,0.644492529,6.4449252900000005
0.3,0.07,0.1,4.0,213,0.645885695,0.645048078,6.4504807799999995
0.3,0.07,0.1,6.0,214,0.646747352,0.645885695,6.458856950000001
0.3,0.07,0.1,8.0,215,0.647610876,0.646747352,6.46747352
0.3,0.07,0.1,10.0,216,0.168116892,0.647610876,6.476108760000001
0.3,0.07,0.3,0.1,217,0.473596558,0.168116892,5.04350676
0.3,0.07,0.3,0.5,218,0.490595834,0.473596558,14.20789674
0.3,0.07,0.3,1.0,219,0.492618914,0.490595834,14.71787502
0.3,0.07,0.3,4.0,220,0.493469327,0.492618914,14.77856742
0.3,0.07,0.3,6.0,221,0.494308352,0.493469327,14.804079810000001
0.3,0.07,0.3,8.0,222,0.495158128,0.494308352,14.829250559999998
0.3,0.07,0.3,10.0,223,0.10111181,0.495158128,14.854743839999998
0.3,0.07,0.5,0.1,224,0.303600877,0.10111181,5.0555905
0.3,0.07,0.5,0.5,225,0.328960088,0.303600877,15.180043849999999
0.3,0.07,0.5,1.0,226,0.331518381,0.328960088,16.4480044
0.3,0.07,0.5,4.0,227,0.332191057,0.331518381,16.57591905
0.3,0.07,0.5,6.0,228,0.332793166,0.332191057,16.60955285
0.3,0.07,0.5,8.0,229,0.333400144,0.332793166,16.639658299999997
0.3,0.07,0.5,10.0,230,0.072290378,0.333400144,16.6700072
0.3,0.07,0.7,0.1,231,0.21993574,0.072290378,5.06032646
0.3,0.07,0.7,0.5,232,0.240326897,0.21993574,15.395501799999996
0.3,0.07,0.7,1.0,233,0.24254707,0.240326897,16.822882789999998
0.3,0.07,0.7,4.0,234,0.243014799,0.24254707,16.978294899999998
0.3,0.07,0.7,6.0,235,0.243496869,0.243014799,17.01103593
0.3,0.07,0.7,8.0,236,0.243960935,0.243496869,17.04478083
0.3,0.07,0.7,10.0,237,0.056253723,0.243960935,17.07726545
0.3,0.07,0.9,0.1,238,0.17200008,0.056253723,5.06283507
0.3,0.07,0.9,0.5,239,0.187676352,0.17200008,15.480007200000001
0.3,0.07,0.9,1.0,240,0.189471703,0.187676352,16.89087168
0.3,0.07,0.9,4.0,241,0.189923326,0.189471703,17.05245327
0.3,0.07,0.9,6.0,242,0.190299165,0.189923326,17.093099340000002
0.3,0.07,0.9,8.0,243,0.190669953,0.190299165,17.126924849999998
0.3,0.07,0.9,10.0,244,0.507232244,0.190669953,17.16029577
0.3,0.1,0.1,0.1,245,0.672211333,0.507232244,5.072322440000001
0.3,0.1,0.1,0.5,246,0.667750057,0.672211333,6.72211333
0.3,0.1,0.1,1.0,247,0.668429504,0.667750057,6.67750057
0.3,0.1,0.1,4.0,248,0.669309557,0.668429504,6.68429504
0.3,0.1,0.1,6.0,249,0.670197326,0.669309557,6.6930955700000005
0.3,0.1,0.1,8.0,250,0.671062468,0.670197326,6.701973260000001
0.3,0.1,0.1,10.0,251,0.172678768,0.671062468,6.7106246800000005
0.3,0.1,0.3,0.1,252,0.562113782,0.172678768,5.1803630400000005
0.3,0.1,0.3,0.5,253,0.579785196,0.562113782,16.863413459999997
0.3,0.1,0.3,1.0,254,0.580180609,0.579785196,17.39355588
0.3,0.1,0.3,4.0,255,0.581018092,0.580180609,17.405418270000002
0.3,0.1,0.3,6.0,256,0.581876537,0.581018092,17.430542759999998
0.3,0.1,0.3,8.0,257,0.582767712,0.581876537,17.45629611
0.3,0.1,0.3,10.0,258,0.1038403,0.582767712,17.48303136
0.3,0.1,0.5,0.1,259,0.371462731,0.1038403,5.192015
0.3,0.1,0.5,0.5,260,0.439517271,0.371462731,18.57313655
0.3,0.1,0.5,1.0,261,0.443710426,0.439517271,21.97586355
0.3,0.1,0.5,4.0,262,0.444491732,0.443710426,22.185521299999998
0.3,0.1,0.5,6.0,263,0.445281735,0.444491732,22.2245866
0.3,0.1,0.5,8.0,264,0.446048397,0.445281735,22.26408675
0.3,0.1,0.5,10.0,265,0.074231703,0.446048397,22.30241985
0.3,0.1,0.7,0.1,266,0.270434071,0.074231703,5.196219209999999
0.3,0.1,0.7,0.5,267,0.331999878,0.270434071,18.93038497
0.3,0.1,0.7,1.0,268,0.337417413,0.331999878,23.239991460000002
0.3,0.1,0.7,4.0,269,0.338084539,0.337417413,23.619218909999997
0.3,0.1,0.7,6.0,270,0.338703627,0.338084539,23.66591773
0.3,0.1,0.7,8.0,271,0.339371237,0.338703627,23.70925389
0.3,0.1,0.7,10.0,272,0.05776632,0.339371237,23.755986589999996
0.3,0.1,0.9,0.1,273,0.211969106,0.05776632,5.1989688
0.3,0.1,0.9,0.5,274,0.262966831,0.211969106,19.077219539999998
0.3,0.1,0.9,1.0,275,0.268132215,0.262966831,23.667014790000003
0.3,0.1,0.9,4.0,276,0.268689992,0.268132215,24.13189935
0.3,0.1,0.9,6.0,277,0.269191139,0.268689992,24.18209928
